video_id,dataset_caption_len_words,reference_caption_len_words,bleu_4,meteor,rouge_l_f,reference_caption,error
nBnip0Vjn5s_163_0to128,101,133,0.1001,0.2774,0.3071,"The scene takes place in a warmly lit interior room with decorative wall sconces and patterned wallpaper visible in the background. A woman with shoulder-length blonde wavy hair and wearing a red and white raglan-style shirt is engaged in a conversation with another person whose dark curly hair is partially visible in the foreground, seen from behind. Across the four frames, the blonde woman's expression and gaze shift — she initially looks downward while speaking, then looks up and makes direct",
biJ2kmZyCQs_39_285to427,87,140,0.0731,0.2254,0.2672,"A young boy with dark hair sits at a white table in front of a green chalkboard, behind which hangs a colorful children's drawing depicting a sunny outdoor scene with green foliage and a yellow flower. He is wearing a black graphic t-shirt with white design elements. On the table in front of him sits a metal plate holding a piece of food that appears to be a slice of cake or bread with a light-colored topping. In the earlier moments of the clip, the boy is visibly talking and gesturing with his ",
DqA3sdTWOSE_6_25to139,72,134,0.0335,0.1990,0.2679,"The video shows a male performer singing into a microphone stand on the ""Saturday Night Live"" stage, as indicated by the watermark text ""Saturday Night Live"" visible in the upper portion of each frame, along with the NBC peacock logo in the lower left. The man is wearing a black short-sleeve button-up shirt, a dark cowboy hat with a subtle decorative band, and a necklace, and has visible tattoos on his left forearm. He stands close to the microphone, and his expression and mouth position shift s",
qNnFmeQttW8_345_195to298,117,140,0.0416,0.2307,0.2388,"The video shows a commercial bakery setting where multiple trays of raw, proofed dough rounds are arranged on a stainless steel rolling rack. The dough portions are pale, smooth, and oval-to-round in shape, placed on silicone baking mats atop the metal trays. A person wearing white latex gloves is visible at the left side of the frame, appearing to interact with or guide the rack. Across the frames, the rack and its loaded trays remain largely stationary, with subtle shifts in camera angle or ra",
vP6uoAwo-ig_22_45to150,105,137,0.1195,0.2639,0.3210,"The video shows an elderly woman standing against a plain white background. She is dressed in a red blazer, dark trousers, and dark shoes, and wears hoop earrings and glasses with her gray hair styled in soft curls. Across all four frames, she stands in roughly the same position facing the camera, though subtle shifts in her posture and head position suggest she is speaking or moving slightly between moments. In the earlier frames she appears to be looking more directly forward, while in the lat",
THhv6PUqjK0_38_66to168,106,142,0.0754,0.2954,0.2745,"The scene takes place inside a casual diner or restaurant with teal-painted walls, wooden ceiling panels, and hanging pendant lights. A man with distinctive white spiky hair and wearing a pink button-down shirt appears to be in a heated confrontation with another man wearing a white chef's hat, who is seen from behind in the foreground. Behind the pink-shirted man stand three onlookers — a man in a blue suit, a woman in a light-colored outfit, and another man in a blue tie — who watch the exchan",
3JWKslGOZis_10_63to170,108,138,0.1013,0.3228,0.2972,"The video shows a young woman with dark hair dyed green at the ends, seated against a plain white background. She is wearing a grey knit cardigan over a white graphic t-shirt featuring what appears to be a portrait print in pink and grey tones, and a small clip-on microphone is visible on her shirt. Her arms are crossed in front of her throughout the clip. Across the four moments captured, her head position and gaze shift slightly — she appears to be speaking or reacting, with her mouth partiall",
yC7B6g9lyYw_36_24to134,97,141,0.0312,0.2571,0.2975,"The video shows a man with short blonde hair and a short beard, wearing a dark olive/army green henley shirt with button details at the collar. He appears to be standing or sitting in a bar or party setting, with bottles visible in the background and colorful magnetic or decorative letters arranged on a light-colored wall behind him. The visible text on the wall reads ""TO БЗЕУ!"" in multicolored letters, along with what appear to be additional partial letters and symbols. In his hand he holds a s",
hgwqU83ETyg_29_0to109,83,147,0.0897,0.2448,0.3333,"The video shows a single young man with a reddish-brown beard sitting at a dark desk in what appears to be a modern kitchen or home studio setting, with white cabinetry and a gray mosaic tile backsplash visible behind him. He is wearing a black t-shirt featuring a red shield logo and a black snapback cap worn backwards. Throughout the clip, he is engaged in an expressive, animated conversation directed at the camera. In the first moment he points a finger toward the viewer; next he raises one ha",
DJQ8dmS9qZY_7_45to171,115,134,0.0672,0.3287,0.2400,"The video shows a single man speaking and gesturing in what appears to be a large, minimally furnished indoor space with grey concrete floors, white walls, and an exposed industrial ceiling with fluorescent strip lighting. The man wears a black hoodie with a small logo on the chest and a navy blue Adidas baseball cap. A small clip-on microphone is visible on his hoodie. Throughout the clip, he uses expressive hand gestures — raising an open hand, spreading his fingers, and moving his arm downwar",
K4EIYQ6fkG4_103_134to240,77,132,0.0324,0.1833,0.2192,"The video shows an extreme close-up shot of the front headlight assembly of a silver sports car, filmed from a low angle that emphasizes the sleek, sculpted bodywork. The headlight unit features a circular projector lens housing with multiple LED elements visible inside, surrounded by a dark black housing set within a sharply angled recess in the silver body panel. Across all four frames, the camera slowly pulls back or shifts perspective slightly, revealing more of the car's hood and the headli",
1KCgttT1ga4_50_0to110,95,145,0.0241,0.2305,0.2645,"The video is set inside what appears to be a supermarket or butcher counter, with bright fluorescent lighting and shelving visible in the background. A single person, wearing a white lab coat or butcher's coat and glasses, is positioned behind a digital weighing scale equipped with a touchscreen display and a built-in label printer. The scale appears to be a TEC brand unit, with a colorful touchscreen interface showing a grid of colored buttons. A printed reference sheet is attached to the front",
OoekLod4vzE_9_240to410,121,137,0.0316,0.2816,0.2576,"The video shows a man with red hair and a reddish beard speaking directly to the camera in what appears to be an interview or confessional-style setting. He is wearing a dark gray button-up shirt with a white button visible near the collar. The background features a dimly lit interior with what appear to be decorative framed panels or screens with ornate designs. Across the four moments captured, the man's expression and mouth position shift as he speaks — his mouth is slightly open in the first",
Cmd5NvjoVnU_1_1078to1181,131,132,0.1048,0.3005,0.2717,"The video shows a man seated at a desk in what appears to be a well-appointed office, wearing a dark navy blazer over a white dress shirt with an orange pocket square and a gold watch. Behind him are white shelving units displaying trophies and framed photographs, as well as a dark framed display piece on the wall. He is speaking and gesturing expressively throughout the clip, first extending his hand outward and later raising his index finger to emphasize a point. A closed silver laptop is visi",
sUP4Yn_Xfj8_0_0to108,108,132,0.0263,0.2590,0.2541,"The video is set in a cluttered indoor workspace with camera equipment, a corkboard, framed pictures, and children's drawings visible on the walls. A man wearing a red t-shirt printed with ""High On Android"" and a dark puffer jacket gestures with both hands outstretched, looking upward with an exasperated or disbelieving expression in the first two frames. As the video progresses, his expression shifts dramatically to one of mock distress or comedic crying, with his eyes squeezed shut and his mou",
k3p2WFdbsjs_83_0to136,97,136,0.0872,0.2402,0.2447,"The video shows a close-up of a woman with long dark hair and green eyes, filmed against a bright, softly blurred white and light green background. She appears to be in her thirties or forties and is wearing light or neutral-toned clothing, though only her face and hands are clearly visible. Throughout the clip, she holds both hands up to her forehead and the area around her eyes, with her fingers gently pressing or massaging her temples and brow area. Her expression conveys mild concern or disc",
Ke6-hZ16s-0_177_80to199,123,136,0.0836,0.3266,0.2846,"The video shows a close-up shot of a pair of purple Samsung Galaxy Buds2 true wireless earbuds in their matching lavender/purple charging case, held in a person's bare hands against a plain white background. In the first frame, the case lid is being opened, revealing the two earbuds nestled inside. Across the subsequent frames, the lid is gradually opened further and then held fully open, giving a clear top-down view of both earbuds sitting in their molded slots within the case interior. The cas",
VYiXLHyf93o_22_0to113,96,135,0.0269,0.2715,0.2510,"The video shows a man being interviewed against a dark, slightly illuminated background. He has medium-length, light brown wavy hair and is wearing a white knit beanie hat with what appears to be a logo on it, along with a dark navy or black t-shirt that features a partially visible star graphic. Throughout the clip, the man is clearly speaking, as his mouth position changes across the frames — open wide in the first frame, mouth showing teeth in the second, slightly open in the third, and nearl",
aZngT1Eas4w_17_0to152,71,141,0.0667,0.2553,0.3486,"The video shows a young man with dark, curly hair and light stubble standing outdoors near a body of water, with a row of red-roofed buildings and green trees visible across the water in the background under a clear blue sky. He is wearing a dark navy zip-up hoodie over a light grey crew-neck t-shirt. Across the four frames, he shifts his gaze and expression subtly — initially looking straight ahead with a neutral expression, then glancing slightly downward, then turning his face gently to one s",
mDjJIluEX-g_4_0to125,87,130,0.0493,0.2440,0.3111,"The video shows a middle-aged man with short, light-colored hair and rectangular wire-framed glasses, wearing a blue denim or chambray shirt over a dark undershirt. He is seated and speaking directly toward the camera in what appears to be a darkened auditorium or theater, with rows of seats faintly visible in the background along with small points of light. Across all four frames, the man's mouth is open in slightly varying positions, indicating continuous speech. His head shifts subtly in angl",
fr7t3gjrTAM_130_79to193,114,143,0.0842,0.3371,0.3012,"The scene takes place in what appears to be a rehearsal studio or music practice room with a distinctive blue paneled wall in the background and overhead lighting visible near the ceiling. A man wearing a tight black long-sleeve athletic shirt with white seam detailing is the primary focus, leaning forward and working on or adjusting a drum kit. As the sequence progresses, a second person becomes visible — wearing a blue short-sleeve shirt and a gray knit beanie hat — who joins the first man and",
Fn9VVmMhd5w_33_0to142,80,130,0.0391,0.1958,0.2243,"The scene takes place in what appears to be a back-room storage or supply area, with metal shelving units holding various equipment and boxes visible in the background. A young woman with brown hair styled in a braid stands at the center of the scene, wearing a purple polo shirt with a red name tag that reads ""MADI."" She is engaged in conversation with another person whose back is turned toward the camera, showing only their shoulder and dark hair. Across the four frames, the woman's expression ",
NeQUNe9kAmg_224_0to118,109,128,0.0846,0.2727,0.2469,"The video shows a 3D-animated cartoon creature resembling a small, reddish-brown owl or bird-like animal lying on a pink and magenta patterned floor. The creature has large, expressive eyes with white sclera and amber irises, feathery tufts around its face, clawed feet, and a bushy tail. In the background, colorful furniture or play equipment in shades of green, yellow, and blue is visible, suggesting a playful, child-friendly indoor setting. Across the frames, the creature appears to be rolling",
gWbAXis6RnI_17_0to116,86,137,0.0178,0.2146,0.2544,"The video shows a close-up shot of two people's hands exchanging a small bouquet of white daisy flowers against a lush, blurred green background of grass and leafy vegetation. One hand, appearing to belong to an adult with freckled or tanned skin on the forearm, extends from the right side of the frame holding the daisies, while a smaller hand with yellow-painted fingernails reaches up from below to receive or jointly hold the bouquet. The flowers feature classic white petals surrounding bright ",
Q8NkhKyxQcU_5_0to159,84,131,0.0218,0.2721,0.2648,"The video shows a young woman speaking directly to camera in what appears to be a dimly lit stage or studio setting. She has long black box braids and is wearing a sage green or olive-colored loose top along with distinctive diamond-shaped pink patterned earrings and a dark beaded necklace. The background features dramatic draped fabric in red and dark tones, with hints of blue and pink lighting visible behind her. Across the four frames, the woman's head position shifts slightly as she speaks —",
o10ttRfzS_Y_1_0to118,109,134,0.0654,0.2705,0.3158,"The video is set against a plain gray background and features a single man with short blonde hair and a beard, wearing a black t-shirt and a white wristband. He is seated next to an **Acer Predator** gaming desktop tower, which is black with silver trim and displays various logos including **Predator**, **NVIDIA**, and **Intel** badges. In the opening moment, the man holds up what appears to be a removable panel or component from the front of the tower. As the clip progresses, he removes the com",
LSKpIRqzz10_18_0to116,87,136,0.0225,0.2285,0.3017,"The video shows a single man filmed in close-up against a plain off-white wall. He has short, swept-back blonde hair and light stubble, and is wearing a black crew-neck t-shirt along with large black Ray-Ban polarized sunglasses. A small sticker or label is partially visible on the wall to his left, and a small dot mark is visible on the wall to his right. Throughout the clip, the man appears to be speaking directly to the camera, as his mouth is open or slightly moving across all four moments c",
U_mq7jVs51I_14_0to111,95,133,0.0218,0.2384,0.2078,"The video captures a young woman with brown hair styled in an elegant updo, wearing teardrop earrings, red lipstick, and what appears to be a formal dress or gown, set against a dark stage backdrop with blue-purple lighting. In the early frames, she appears visibly emotional, with tears or moisture visible around her eyes as she gazes slightly downward and to the side. As the clip progresses, a man in a white dress shirt or suit jacket becomes visible beside her, smiling warmly. The woman's expr",
0-e8QYhjCf0_55_0to161,115,118,0.0229,0.2341,0.2521,"The video shows a young East Asian man with dark, slightly damp hair styled with a curtain fringe, wearing a dark navy jacket or hoodie. In the first two frames, he is pointing a dark handgun directly toward the camera with a focused, intense expression, his arm extended forward. The background is a plain, muted light gray or overcast exterior setting. In the later frames, the gun is no longer visible and he turns his gaze slightly to one side, his expression shifting to something more alert and",
