video_id,dataset_caption_len_words,reference_caption_len_words,bleu_4,meteor,rouge_l_f,reference_caption,error
wCBgd4nYdJc,8,146,0.0000,0.0222,0.0533,"A pair of hands holds up the back of a small white medicine box, displaying it toward the camera in what appears to be an indoor setting with a window and vertical blinds visible in the background. The box is branded with ""南京同仁堂,"" ""志清宁,"" ""rebeing,"" and ""Rantto,"" and contains dense Chinese text organized into two columns describing what appear to be two products: ""百年医心·立净抑菌膏"" and ""百年医心·立净抑菌液,"" along with ingredient lists, usage instructions, approval numbers, and manufacturing information. A barc",
tBSgmyX5_D8,11,128,0.0000,0.0331,0.0552,"The video shows a close-up review of a Citizen brand wristwatch being held and examined by a person's bare hands against a plain white background. The watch features a dark navy/grey dial with multiple sub-dials, silver-toned hands and hour markers, a date window displaying ""2,"" and a detailed bezel ring bearing city abbreviations including ""LON,"" ""PAR,"" ""ATH,"" ""RUH,"" ""NYC,"" ""LAX,"" ""SYD,"" and many others representing world time zones. The watch has a silver metallic bracelet. Throughout the clip",
hB2eIe9HTrw,9,137,0.0000,0.0198,0.0714,"The video shows gameplay footage from what appears to be a mobile action RPG, featuring a character class labeled ""원소술사"" (Elemental Mage/Sorcerer) displayed in yellow text at the top of each frame. The battlefield is a dark, icy arena where the player character engages a skeletal or undead enemy boss identified as ""지진유발자 기시우스"" (Earthquake Invoker Gisius). Yellow arrows pointing left and right appear across all frames, indicating directional movement or positioning guidance. The bottom text in ea",
wdupWOx_828,4,123,0.0000,0.0091,0.0328,"The video shows a pink background filled with a repeating tile pattern featuring Kirby, the round pink Nintendo video game character, alongside bold Japanese text reading ""４位"" (meaning ""4th place"") with black lettering outlined in white. Kirby appears in his classic form — a small, round, pink figure with rosy cheeks, oval eyes with pink highlights, and small pink feet — smiling cheerfully. The watermark text ""まるピンク チャンネル"" (meaning roughly ""Round Pink Channel"") appears multiple times in the uppe",
UwSAGZmpglw,8,145,0.0000,0.0261,0.0510,"The video is set in front of a cartoon-style red brick school building with teal-framed windows, a yellow front door, stone steps, and a green lawn with trees. A sign reading ""SCHOOL"" is visible near the entrance, and a teal flag stands on a pole to the right. The watermark ""Student's Edusquadz"" appears in the upper portion of the scene. The scene begins with an empty schoolyard, then a curly-haired child wearing glasses and carrying a green backpack loaded with stacked books arrives in front of",
fQLMFWYc9is,9,154,0.0000,0.0287,0.0940,"The video shows a close-up shot of a paper plate filled with a variety of foods arranged together, including pancakes, a cheesy scrambled egg or casserole dish, diced potatoes, a halved hard-boiled egg, and several macarons in pink and chocolate colors. The plate is sitting on a gray tablecloth next to a pink checkered placemat, with plastic cutlery (a fork and knife) resting on the plate, napkins nearby, and a blue patterned paper cup containing what appears to be orange juice. The camera angle",
wKL5o4NEWr4,12,144,0.0000,0.0302,0.0886,"The video appears to be an educational presentation about cybersecurity concepts. In the early frames, a split-screen shows a computer monitor with social media icons (Gmail, Instagram, and Twitter) alongside a smartphone displaying a green text message conversation, with a silhouetted figure visible. As the video progresses, the phone conversation becomes more detailed with additional messages appearing, and a computer screen showing what appears to be a security threat or malware interface wit",
G-828bdJNbw,11,137,0.0000,0.0119,0.0414,"The scene takes place on what appears to be a Korean television talk show set, featuring a teal and pink backdrop with geometric shapes. In the upper-left frame, a man in a white shirt is seen hunched forward with his face buried in his hands, appearing distressed, while a drink cup is visible nearby. The remaining three frames focus on a middle-aged woman with wavy dark hair wearing a white top, whose expression shifts from tearful and emotional to a more composed but still somber look. The sho",
R-koxqtskmk,9,137,0.0000,0.0158,0.0438,"The video shows a dining table set with multiple plates of Persian-style food, including rice topped with a dark herb-based stew (likely ghormeh sabzi), French fries, and what appears to be additional side dishes such as a green soup and a white yogurt-based dip. Condiment bottles — red ketchup and a darker sauce — are visible in the background. Two people are seated at the table; one wears a colorful floral-patterned top with a dark sleeve visible, and the other wears an all-black outfit. Both ",
KBmwxUh1Fl4,9,131,0.0000,0.0378,0.0548,"A young man wearing a dark gray t-shirt with the partial text ""HAAS NO.20... SINCE A..."" printed on it, a black face mask, and a beaded necklace performs on an outdoor stage, playing a sunburst-colored Stratocaster-style electric guitar with a maple neck. The stage is equipped with a metal truss structure overhead holding multiple red stage lights and moving head fixtures, and amplifiers and equipment cases are visible in the background. Across all four moments, the guitarist looks down at his i",
