video_id,caption_len_words,has_hallucination,n_claims,claims,error
1579477cdd54b5abc93c7ef31a675183,147,1,2,"A black mug with red and white text that reads 'TALK OUT' — no mug is visible on the desk in any of the three frames | The background banner displays 'UNIQUE HUSTLE' — the visible text shows 'UNIQUE' and 'HUSTLE' as separate elements, not as a single phrase",
e2f4130bc916a8cbaec51892275627b9,132,0,0,,
3e36dd3b94e447ca2ec1cd87fde6c8b9,132,1,1,A tall black utility pole stands on the left side of the road near the parked cars,
bb605e9e9e516e60519e7fdfa750f317,127,1,1,A sign reads 'UNIQUE FASHIONS',
27eccdbe2c6fd6519842c2e9cb022c58,133,0,0,,
90f0b2d5f57352c9d919a72e85171381,120,0,0,,
b35ae07da479c133785b4c541a5538c8,136,0,0,,
5fe09870c55309d613037ce318bff133,123,0,0,,
239d8dfa9041f50aff9b6d2a964047e5,135,1,1,"the right logo reads ""LOSS TALK 101 PODCAST""",
1695b12bc71dd4d01e62c34f0be8f756,131,0,0,,
720b0cc7bfebd09ab2f2f99241634486,121,0,0,,
8ee8c5969c25f36516ed21e0f843af7a,119,1,1,"A woman with dark skin — the person shown appears to be a man, not a woman, based on facial features including beard/stubble, facial structure, and overall appearance",
285fa01bc0d45324d12f1a7c179b8f46,111,1,1,The shirt is described as 'light-blue' but appears to be white or off-white with a light blue undergarment visible beneath it,
7506085d9dc56c2e992f88b677e69b49,122,0,0,,
32e00fde9cfece3a2af7e1fe46cfbc44,131,0,0,,
bc7e10e3271aac059b333ee1eef1aebd,142,0,0,,
894fdb5e2b6f14fc32268984d35c22fd,117,0,0,,
e04cd82a000236084e9bf42764f21213,130,1,1,"a blue sign that reads ""BOSS TALK 101"" and ""Where BOSSES Talk!""",
b4bf8b19dafd0269fc141683c7f967b7,141,1,1,"In the final sequence of the clip, the bottom white bar changes to display 'FOLLOW US,' a YouTube icon, 'PLUSTVAFRICA,' and 'WATCH ON' with logos for DStv 'CH 40in' and StarTimes 'CH 308.'",
50caa0f5598bbac9bd1b0a4b2dad07c2,121,0,0,,
b74ce153d6d10ba278c238b60a6ad963,140,0,0,,
b0a112908f464aa96fd88f2eef4b8f44,136,1,1,blonde curly hair,
687cac31b3cfc93a85073bfdd7daf176,132,0,0,,
8476509d2dd08e045af0c5eaea7546d0,134,0,0,,
247db7efc74ac61b6a4621dccc6a7148,130,0,0,,
5566f70e46cbd6731286d8642a457241,135,0,0,,
7a6d3ea2c2299c4f2ae4e67f7011d046,132,0,0,,
5144ea0275ae792b425fecf612e0e0a3,146,1,1,directing them to 'the former Wiki Collaborative' for a full set of guides,
e420eae8e65c35e599ddf3887bcae01f,135,0,0,,
bbf408c2d1f8954013a0f94627934303,145,0,0,,
85ce3f8a52e67d97008cee3514091ec9,131,0,0,,
6d9ffef444f0adff1fb19dde2c5b0148,123,0,0,,
a165fc99717e8be37d06e2ee0dd01117,151,0,0,,
1c49a0b976cda7f9da5ef7ae6188b5ed,155,0,0,,
72cdaffd743f6e979c1f7262e712c28d,141,0,0,,
0f94b42beb1a3f090a8319d283a50e60,146,0,0,,
9c6230d457eb73d526fafcc337a00c99,126,0,0,,
c72790c70a8b893f4b5fdc3ab60510b3,131,0,0,,
84c30afd4a7870cd0cae36fbaf103e71,129,0,0,,
21ee864008cc234b6113bb647026717a,147,1,1,A laptop with a 'NATIVE' sticker is visible on the table in front of them.,
696b2d5c3d7d817003a3b4039dac0930,164,0,0,,
9c0773f57eb7da1a174193f179ef0040,141,0,0,,
6a2ec63f6a8a0cd131705f57d7f4b3bb,136,1,3,"The man's t-shirt features the white text ""I'VE NEVEZ"" above the word ""SUN"" — the text visible on the shirt reads ""I'VE NEVER"" (not ""NEVEZ"") above what appears to be additional text, not just ""SUN"" | Two logos are visible on the screen: one on the bottom left consisting of a circle and ""THE"" — the bottom left logo is a waveform design with ""THE"" and ""PODCAST"" text, not just a circle and ""THE"" | Another on the bottom right in red text that reads ""THE REAL TALK TOT"" — the bottom right logo reads ""BOSS TALK 101"" in red text, not ""THE REAL TALK TOT""",
f4f1c5c2ddc33780954d5d1c73dcef79,135,0,0,,
c4ba463616f99bce57922f19a96487a7,118,0,0,,
e2a30ea5c6b50d54e868043293f7f092,134,0,0,,
4736e39a5922ec099517dc1246d03494,142,0,0,,
8363b1dbaf1b71d69363459b36e8c588,141,1,3,a sign that says 'STOPPING BEER' | another that reads 'ACTIVISM FOR CHANGE' | The browser's address bar displays 'blackboard.com/my learning',
456c505504c0093293b895fa1a4e96fd,135,1,1,"The screen transitions to the 'MISSION SELECT' screen, which lists goals such as 'GHOSTS OF MUT,' 'ZERO CHILL,' and 'TEAM AFFINITY' — no such mission select screen is visible in any of the three frames; the final frame shows the MARKETPLACE with store items, not a mission select screen.",
7b33eb1206c358c0b47f875060a9ade6,126,0,0,,
824f26546738dd01fb8fec3180fdf46d,138,1,2,"one on the left says ""THE REAL"" | one on the right says ""REAL FLY"" with ""HOT"" underneath it",
d49f86bbccf884bedb83d5493c0de0e2,125,0,0,,
c669378ae3cb1d981e6668550c39fa5b,141,1,1,"A gauge labeled ""PRESS PSI"" and ""KPH"" — the visible gauges show ""OIL PRESS PSI"" and ""OIL TEMP"" labels, not a single gauge with both ""PRESS PSI"" and ""KPH""",
b38112731767a9319648031617bc753a,129,1,1,a silver fish,
6d78d9e786b091f878075bd462531a25,144,0,0,,
44a7773a320bf3be7ccbd6c6efc00cd8,136,0,0,,
f9ecf8030fae73e934638d8fffaefc1f,135,1,2,circular logo contains the text 'TAPE' | red logo on the right side says 'THE REALLY HOT POD',
f23c64e83137fa79d3f03f9a4a51a3ec,123,0,0,,
2d8b0e6f0d94a2960e581461719b9db2,140,0,0,,
173485aa4d9fc6bfc52499252fe0fb18,133,1,2,"red bowtie — the bowtie visible is burgundy/maroon with a glittery texture, not red | the text 'GOSS TALK JOY PODCAST' — the visible text reads 'BASS TALK JOY PODCAST' (or similar, with 'BASS' not 'GOSS')",
36f944f7cc3d260e9db9aae1bbd879fb,149,0,0,,
4bf4d3694d4fa31ce9da15cf4ce241e9,126,0,0,,
4f716d5a7f1c0326695a17eb59e2197e,132,0,0,,
d1ab019b78c6e108cca9f510bb6f7e1b,143,0,0,,
